Statement,Correct,n,SlowKey.corr_mean,SlowKey.corr_raw,SlowKey.corr_std,SlowKey.keys_raw,SlowKey.rt_mean,SlowKey.rt_raw,SlowKey.rt_std,SlowKey.started_mean,SlowKey.started_raw,SlowKey.started_std,SlowKey.stopped_raw,SlowText.started_mean,SlowText.started_raw,SlowText.started_std,SlowText.stopped_raw,encouragekey.keys_raw,encouragekey.rt_mean,encouragekey.rt_raw,encouragekey.rt_std,encouragekey.started_raw,encouragekey.stopped_raw,encouragetext.started_raw,encouragetext.stopped_raw,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_mean,polygon.stopped_raw,polygon.stopped_std,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
Spatial intervals can be further divided,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Numerical intervals can be finite,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Numerical intervals can be infinite,f,1.0,1.0,1.0,0.0,'f',0.8143583536148071,0.8143583536148071,0.0,129.10665893554688,129.10665893554688,0.0,,128.60629272460938,128.60629272460938,0.0,,,,,,129.94009639578871,,129.94009639578871,,'space',0.1580977886915207,0.1580977886915207,0.0,129.93975830078125,129.93975830078125,0.0,,128.12274169921875,128.12274169921875,0.0,128.523193359375,128.523193359375,0.0,129.93975830078125,129.93975830078125,0.0,,25.0
Numerical intervals can have an end,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Numerical intervals can be endless,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Numerical intervals cannot go on forever,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Numerical intervals can go on forever,f,1.0,1.0,1.0,0.0,'f',4.86335563659668,4.86335563659668,0.0,209.3453826904297,209.3453826904297,0.0,,208.84536743164062,208.84536743164062,0.0,,,,,,214.22911941481289,,214.22911941481289,,'space',0.1394890546798706,0.1394890546798706,0.0,214.22930908203125,214.22930908203125,0.0,,208.36151123046875,208.36151123046875,0.0,208.7615966796875,208.7615966796875,0.0,214.22930908203125,214.22930908203125,0.0,,59.0
Numerical intervals cannot be further divided,f,1.0,0.0,0.0,0.0,'j',8.210419654846191,8.210419654846191,0.0,245.2989959716797,245.2989959716797,0.0,,244.79910278320312,244.79910278320312,0.0,,,,,,253.5321952968079,,253.5321952968079,,'space',0.09748470038175583,0.09748470038175583,0.0,253.53175354003906,253.53175354003906,0.0,,244.31661987304688,244.31661987304688,0.0,244.73179626464844,244.73179626464844,0.0,253.53175354003906,253.53175354003906,0.0,,73.0
Numerical intervals can be further divided,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Time is finite,j,1.0,1.0,1.0,0.0,'j',0.39575421810150146,0.39575421810150146,0.0,172.127685546875,172.127685546875,0.0,,171.62594604492188,171.62594604492188,0.0,,,,,,172.5432499978051,,172.5432499978051,,'space',0.15041933953762054,0.15041933953762054,0.0,172.54354858398438,172.54354858398438,0.0,,171.1591033935547,171.1591033935547,0.0,171.5596466064453,171.5596466064453,0.0,172.54354858398438,172.54354858398438,0.0,,45.0
